filename,sentence
cv_0032.wav,มันโอเค ไม่มีการทำให้แตกหักกะร่องกะแร่ง
cv_0033.wav,ฉันเถียงกับเธอไม่ได้ เธอก็รู้ดีอยู่แล้ว
cv_0034.wav,คนขับรถบรรทุกมักจะหยุดพักระหว่างทางที่ร้านตามจุดพักรถ
cv_0035.wav,นี่คือเหมืองร้าง
cv_0036.wav,ไม่มีทาง ฉันหวังว่าอย่างนั้นนะ ลูกพี่ลูกน้องริชาร์ด
cv_0037.wav,การเชื่อมต่ออินเทอร์เน็ตของเขาช้าเกินไป
cv_0038.wav,ใช้อนาคอนดาสำหรับโครงการนี้กันเถอะ
cv_0039.wav,ตัวอย่างที่ดีของไดโนเสาร์คือพเตเรอแดกติล
cv_0040.wav,ฉันรอคุณมาตอบอยู่นะ
cv_0041.wav,ฉันจองวันหยุดเรียบร้อยแล้ว
cv_0042.wav,เมื่อไหร่รถไฟฟ้าความเร็วสูงจะเสร็จสักที
cv_0043.wav,มันเป็นความคิดที่น่าจะเป็นไปได้และน่าจะเข้าท่าด้วย
cv_0044.wav,มันจะช่วยให้อะไรดีขึ้น
cv_0045.wav,เราต้องรวบรวมรายชื่อหุ้นส่วนทั้งหมดของโครงการนี้
cv_0046.wav,ช่างไฟรู้วิธีเชื่อม
cv_0047.wav,นี่เพื่อนของคุณหรอ ?
cv_0048.wav,คุณกำลังจะพูดว่าอะไร ?
cv_0049.wav,ความคิดเห็นถูกแบ่งแยกไปตามความสำคัญของการไขว้กับการกลายพันธุ์
cv_0050.wav,คุณไม่ชอบแจ๊คเก็ตตัวนี้หรอ
cv_0051.wav,ฉันว่าฉันจะสั่งขนมปังไส้หมูฉีก
cv_0052.wav,ฉันพยายามจำโน๊ตให้ได้มากที่สุดก่อนจะสอบ
cv_0053.wav,วงเล็บปีกกาพิมพ์ยาก
cv_0054.wav,ไฟแรง !
cv_0055.wav,มันมีรูอยู่ที่พรม
cv_0056.wav,คุณช่วยบอกรายละเอียดของเขาให้ฉันฟังหน่อยได้ไหม ?
cv_0057.wav,มันคือหนทางเดียว
cv_0058.wav,นายหญิงออกไปข้างนอกใช่ไหม
cv_0059.wav,เขาทำมันเพื่ออะไร ?
cv_0060.wav,การเดินทางไกลกลับบ้านใช้เวลาหนึ่งปี
cv_0061.wav,พวกเขายืนกำลังฟังในความมืด
cv_0062.wav,เทคโนโลยีชีวภาพ หรือ ไอโอเทค เป็นตัวเลือกที่นิยมสำหรับปริญญาตรี
cv_0063.wav,กลีบดอกร่วงโรยตามลม
cv_0064.wav,ขอพระเจ้าอวยพรท่านสุขภาพดีเพียงใด !
cv_0065.wav,อลิซรู้สึกงุนงงทั้งหมด
cv_0066.wav,เธอพักฟื้นตัวเองด้วยความพยายาม
cv_0067.wav,ยามค่ำคืนนั้นสงบและเต็มไปด้วยหิมะ
cv_0068.wav,บาคาร์ดี้ ไรย์ วอดก้า - คุณต้องการอะไร ถามบาร์เทนเดอร์
cv_0069.wav,กลุ่มกบฏเปลี่ยนโฉมรถรถคู่ใจของเขาด้วยเครื่องยนต์ไฮดรอลิค
cv_0070.wav,ไทเกอร์ วูดส์ คือนักกอล์ฟที่มีชื่อเสียง
cv_0071.wav,แมป
cv_0072.wav,วันนี้ก็เป็นวันที่ดีอีกวัน
cv_0073.wav,คิดว่าพวกเขาคงชักสีหน้าใส่ฉัน
cv_0074.wav,ชื่อที่ให้ในสเปนและโปรตุเกส
cv_0075.wav,ฟิลิปยืนละล้าละลัง หูเงี่ยฟังเสียง
cv_0076.wav,ได้โปรดเอาซุปมาให้หน่อย
cv_0077.wav,เมื่อไวน์หมดสติอยู่
cv_0078.wav,มันเกิดอะไรขึ้นในร้านทำผมกันแน่ ?
cv_0079.wav,ข้อสอบข้อนี้ยากจริง ๆ
cv_0080.wav,กีฬากระโดดร่ม เป็นสิ่งที่ค่อนข้างอันตราย
cv_0081.wav,ซาลกำลังทำให้คนอื่น ๆ โกรธ
cv_0082.wav,ฉันเห็นเบ็นในเมืองรถ มินิคูเปอร์ของเขา
cv_0083.wav,ซึ่งศาลจะอ่านคำพิพากษาดารณี
cv_0084.wav,พิธีกรรมสาธารณะและสิ่งมันระลึกถึง
cv_0085.wav,ฉันคิดอยู่ว่าจะซื้อหมวกนั่น แต่ดันไปเห็นว่ามันราคาแปดสิบดอลลาร์
cv_0086.wav,โอไบรอันส่งเสียงกรีดร้องที่ดำดิ่งอย่างรวดเร็วพร้อมกับเสียงสะอื้น
cv_0087.wav,มาสิ มาทดลองชิ้นส่วนแรกกัน ม็อคเทอร์เทิลกล่างแก่กริฟฟอน
cv_0088.wav,ฉันคิดว่าฉันอาจจะหยุด
cv_0089.wav,ต้องระวางโทษจำคุกไม่เกินห้าปี หรือปรับไม่เกินหนึ่งแสนบาท
cv_0090.wav,หัวใจผมคำนับผู้หญิงคนนี้ไปแล้ว
cv_0091.wav,แปดร้อยยี่สิบสี่ถัง
cv_0092.wav,เราจะเอามันมาเป็นมื้อเที่ยงวันนี้
cv_0093.wav,ที่จะเป็นอิสระที่ค่าใช้จ่ายของผู้อื่น
cv_0094.wav,อย่าเอ่ยถึงมัน ชายชรา ฉันตอบอย่างสุภาพ
cv_0095.wav,ไส้กรอกพวกนี้อร่อยมาก ๆ
cv_0096.wav,สำหรับฉันมันธรรมดามาก
cv_0097.wav,เพลงนั้น ในขณะที่ทางเทคนิคแล้วเป็นเพลงวอลทซ์ ก็ฟังแล้วเหมือนคนเมาเล่นทูบาที่เข้าไปเล่นในส่วนเครื่องเคาะจังหวะของวงออร์เคสตร้า
cv_0098.wav,พลอยปลอมส่องประกายมากแต่มีราคาน้อย
cv_0099.wav,การเดินทางไปมหาวิทยาลัยธรรมศาสตร์ ศูนย์รังสิต ด้วยรถโดยสารประจำทาง
cv_0100.wav,ฉันทำให้ตัวเองรู้สึกดีเหมือนเดิมและเดินกลับบ้านต่อ
cv_0101.wav,คนเราต้องสู้ชีวิต
cv_0102.wav,แฮรรี่หวังว่าเขาจะพบกับความสำเร็จจากโปรเจคที่เขากำลังทำอยู่
cv_0103.wav,ฉันก็รักคุณเหมือนกัน
cv_0104.wav,คำสารภาพของเธอเกี่ยวกับมันยืนยันเรื่องราวทั้งหมด
cv_0105.wav,บ่ายหนึ่ง
cv_0106.wav,แผนที่ถนนแบบเปิดช่วยให้พนักงานช่วยเหลือด้านมนุษยธรรมเข้าถึงสถานที่ที่ยากที่สุดในการเข้าถึง
cv_0107.wav,ไรอันคงไม่เคยตรวจสุจภาพจิต
cv_0108.wav,ฉันข้ามถนนพร้อมกับผิวปากอย่างสนุกสานและล้อเลียนท่าทางโยกเยกของคนส่งนม
cv_0109.wav,ความรู้สึกน่าชื่นชม
cv_0110.wav,ระบบเรียนรู้ผ่านเครื่องจักรช่วยกระตุ้นให้คนพัฒนาตนเองมากขึ้น
cv_0111.wav,ในห้องของมาร์ธไม่มีแสงสว่างเลย
cv_0112.wav,จริยธรรมจะต้องถูกสร้างให้กับปัญญาประดิษฐ์ตั้งแต่แรก
cv_0113.wav,วนิดาก้าวเข้ามาเป็นนักศึกษามหาวิทยาลัยธรรมศาสตร์ในยุคประชาธิปไตยเบ่งบาน หลังเหตุการณ์ สิบสี่ ตุลา และเข้าร่วมกิจกรรม นักศึกษาฝ่ายก้าวหน้าอย่างแข็งขัน
cv_0114.wav,คุณวูดคอร์ต คุณกำลังจะไปลอนดอนหรือ ?
cv_0115.wav,สนามหญ้าถูกโรยหน้าด้วยดอกเดซี่
cv_0116.wav,แจ็คทุกคนมีจิลของเขา
cv_0117.wav,ฉันระงับความไม่พอใจของฉันไว้
cv_0118.wav,การจำนองของเรามีการค้างชำระ
cv_0119.wav,ไฟลวกหมาจิ้งจอก
cv_0120.wav,มีอาอายุครบเจ็ดขวบวันนี้
cv_0121.wav,บ่ายโมง
cv_0122.wav,วันทำงาน
cv_0123.wav,ฉันไปว่ายน้ำเล่นกับโลมามาเมื่อวาน
cv_0124.wav,สิ่งเล็ก ๆ เป็นจุดเริ่มต้นของความยิ่งใหญ่
cv_0125.wav,ไม่ เธอต้องฟังเขา
cv_0126.wav,ความร่ำรวยคือล่อของผู้มั่งคั่ง
cv_0127.wav,เธอเดินออกจากห้องพิจารณาคดี
cv_0128.wav,เมษายน
cv_0129.wav,จัดตั้งจังหวัดกาฬสินธุ์ โดยแยกจากจังหวัดมหาสารคาม
cv_0130.wav,อย่ากังวลเลย พวกนั้นเป็นคนดี
cv_0131.wav,อย่าทำให้มิสแคลร์ตื่น
cv_0132.wav,มองซิเออร์ คุณอยากรู้ความจริงใช่ไหม ฉันเกลียดเธอ
cv_0133.wav,และฉันก็ระเบิดหัวเราะออกมา เป็นการขำเยาะเย้ยที่น่าเอ็นดู
cv_0134.wav,ฉันถือมันไว้ในอุ้งมือของฉัน
cv_0135.wav,ที่นั่นฉันทานอาหารเช้าเป็นวิสกี้ผสมโซดาและขนมปังกรอบนิดหน่อยจากในตู้
cv_0136.wav,ให้เราดูโรงจอดรถ
cv_0137.wav,แต่แผนที่นี้สร้างมาเพื่อเธอ ใช่มั้ย
cv_0138.wav,เขาเป็นคนสูงศักดิ์
cv_0139.wav,เรียล
cv_0140.wav,กรุณาเงียบ
cv_0141.wav,ตรงนี้ฉันเห็นและรู้อยู่แล้วหละ
cv_0142.wav,มันเป็นวัฒนธรรมที่ต้องกินสายไหมริมทะเล
cv_0143.wav,ซอฟต์แวร์นั้นเป็นกรรมสิทธิ์ของโปรแกรมหรือเป็นโอเพ่นซอร์สหรือไม่
cv_0144.wav,คุณยายของฉันกำลังพักฟื้นตัวอยู่ที่ศูนย์ฟื้นฟูผู้ป่วย
cv_0145.wav,วิกผมของตัวตลกแต่ละตัวมีหมวกกะลาเล็ก ๆ ที่มีสายรัดคางยืดหยุ่น
cv_0146.wav,รถคันนี้ขายในราคา หนึ่งหมื่นสองพันสี่ร้อยหกสิบเก้าดอลลาร์
cv_0147.wav,มาร์คแกะกล่องสินค้าด้วยความระมัดระวัง
cv_0148.wav,คุณจะมาโทษฉันที่ถอนตัวไม่ได้
cv_0149.wav,มูหราดเพื่อนของฉันกำลังจะมาสุดสัปดาห์นี้
cv_0150.wav,อยู่ตรงนี้ล่ะฟัง อย่าไปไหนเลย
cv_0151.wav,ฉันได้รับมรดกรูปปั้นในพินัยกรรมของยายของฉัน
cv_0152.wav,เธอไม่ชอบกระแสของถุงน่องไนลอน
cv_0153.wav,ผู้ชายหลายคนที่เดินกลางถนน
cv_0154.wav,สินค้ามีราคาที่แตกต่างกัน
cv_0155.wav,ฉันจะไปเยอรมันพรุ่งนี้
cv_0156.wav,การจราจรติดขัดทั้งเมือง
cv_0157.wav,เราทำเป็นว่ามันไม่เคยเกิดขึ้นไม่ได้หรอก
cv_0158.wav,สถานที่แข่งที่ต่อไปคือที่ไหน
cv_0159.wav,หินเหล็กไฟได้กระเด็นออกและจุดคบเพลิงน้ำมันสน
cv_0160.wav,เติบโตช้ายังดีกว่าไม่พัฒนาเลย
cv_0161.wav,ฉันถูกดึงไปเพื่อฝ่าไฟแดง
cv_0162.wav,ฉันแนะนำให้ใช้เครื่องตรวจตัวสะกดเพื่อหลีกเลี่ยงความผิดพลาดดังกล่าว
cv_0163.wav,คุณมีมัน
cv_0164.wav,โซดาจะดีกับสุขภาพมากกว่านี้ ถ้ามันไม่มีน้ำตาลในนั้น
cv_0165.wav,ทำเช่นนั้นด้วยแท่งไม้
cv_0166.wav,บริษัทเราจะต้องปรับตัวเพื่อใช้งานเทคโนโลยีเหล่านี้
cv_0167.wav,ฉันพิจารณาแล้วว่ามันเป็นพฤติกรรมที่สุ่มเสี่ยง
cv_0168.wav,ฉันเขียนจดหมายถึงภรรยาของฉันด้วยมือ
cv_0169.wav,แล้วเขาก็เดินไปที่ห้องบัลลังก์แล้วเคาะประตู
cv_0170.wav,ฉันฟื้นฟูตัวเองและเดินไปบ้านต่อ
cv_0171.wav,การศึกษาเป็นสิ่งสำคัญมาก
cv_0172.wav,คุณคงไม่มีที่ไป
cv_0173.wav,คุณเตรียมพร้อมสำหรับการตอบคำถามภูมิศาสตร์ในวันพรุ่งนี้?
cv_0174.wav,เติมผักชี
cv_0175.wav,บังเอิญว่ามันเป็นเรื่องจริง
cv_0176.wav,ยูเอสบีไดรฟ์
cv_0177.wav,วันอาสาฬหบูชา
cv_0178.wav,ฉันยกผ้าคลุมขึ้นและพูดกับหล่อน
cv_0179.wav,ฉันต้องการเรียนรู้เรื่องสัตววิทยา
cv_0180.wav,ทำไมที่นี่ยังต้องใช้สำเนาบัตรประชาชน
cv_0181.wav,พวกเขาเปิดขวดไวน์และดื่มอย่างหนัก
cv_0182.wav,ที่กินที่เที่ยว
cv_0183.wav,คอมพิวเตอร์เครื่องนี้ติดไวรัส
cv_0184.wav,โอ้มันแย่มาก!
cv_0185.wav,มันไม่ถูกต้องเธอรู้ใช่ไหม
cv_0186.wav,ฉันขอแซนด์วิชที่ไม่ใส่มะเขือเทศ
cv_0187.wav,หยุดทำงาน
cv_0188.wav,ขอพูดอีกครั้งว่าที่นี่มีบางอย่างที่ฉันไม่เข้าใจ
cv_0189.wav,คุณคิดยังไงถึงจะดีที่สุด คุณซัมเมอร์สัน
cv_0190.wav,คุณเห็นสิ่งที่จะเกิดขึ้น
cv_0191.wav,อีกไกลแค่ไหนถึงจะถึง
cv_0192.wav,คุณอายุเท่าไหร่?
cv_0193.wav,เคทลีนหยิบมือถือออกมาจากกระเป๋า
cv_0194.wav,เราบอกเขาไปว่า ฉันก็อยู่อย่างฉัน เธอก็อยู่อย่างเธอ
cv_0195.wav,คุณยังเด็กที่จะเป็นผู้ดูแลโรงแรม” ฉันพูด
cv_0196.wav,คุณเป็นอย่างไรบ้าง
cv_0197.wav,และแสงสว่างจ้าทะลุผ่านรอยขาดของผ้าม่าน
cv_0198.wav,มีห้องว่างอยู่จากที่ที่เธอมา
cv_0199.wav,ทำไมฉันถึงต้องตามหาเธอบ่อย ๆ ถ้าฉันไม่สนใจ
